"","NBC.mean","MBC.mean","Class"
"AMPL200135",0.192799077831904,0.078925109912376,"Naive B-cell high"
"AMPL200138",0.692885395659904,0.314594389273481,"Naive B-cell high"
"AMPL200165",0.852300107369336,0.367283688512654,"Naive B-cell high"
"AMPL200166",0.174115235854902,0.186315416416649,"Memory B-cell high"
"AMPL200168",0.863395813421418,0.514217816491712,"Naive B-cell high"
"AMPL200221",0.880892658428234,0.467494550084215,"Naive B-cell high"
"AMPL200226",0.927629991853604,0.54318930690564,"Naive B-cell high"
"AMPL200232",0.861940779781166,0.599292045278274,"Naive B-cell high"
"AMPL200252",0.877180800516068,0.659487589506968,"Naive B-cell high"
"AMPL200274",0.100349525751921,0.547000789868571,"Memory B-cell high"
"AMPL200280",0.536664548114797,0.497405869505049,"Naive B-cell high"
"AMPL200341",0.826691729359743,0.231389299848146,"Naive B-cell high"
"AMPL200362",0.348572084704867,0.741534136180257,"Memory B-cell high"
"AMPL200374",0.375760302369886,0.710285219708288,"Memory B-cell high"
"AMPL200409",0.758191468974464,0.458112620400473,"Naive B-cell high"
"AMPL200436",0.858796831147467,0.637249014834512,"Naive B-cell high"
"AMPL200461",0.446530502116634,0.758491935055404,"Memory B-cell high"
"AMPL200463",0.856516765197157,0.369594698560653,"Naive B-cell high"
"AMPL200495",0.778775843548641,0.677355207138027,"Naive B-cell high"
"AMPL204650",0.068585658768536,0.076545922075777,"Memory B-cell high"
