"","S1.mean","S2.mean","S3.mean","S4.mean","GC.mean","PB.mean","NBC.mean","MBC.mean","dropout","Special"
"AMPL131064",0.940022907580745,0.946478272698951,0.931963144995069,0.936394815328301,0.637003103862087,0.770941673828596,0.89226339951208,0.765835951492095,0.00228384991843389,"Normal"
"AMPL131065",0.922713620604257,0.9412190169327,0.923722514666477,0.941984797625131,0.526093033489396,0.685825674683814,0.89761253448349,0.311323070626734,0.0567699836867863,"Normal"
"AMPL131067",0.909333770996135,0.762597606391805,0.611036069788075,0.61063867785324,0.147137728277795,0.329393384283603,0.44328065031582,0.297074448115063,0.192985318107667,"Normal"
"AMPL131069",0.783243363401203,0.88528980964175,0.867505876209988,0.883977037891515,0.753467953887166,0.65927447449874,0.625986342129704,0.712882193733331,0.00652528548123976,"Normal"
"AMPL131070",0.607456155446848,0.678292424489387,0.609251406200587,0.668259192579703,0.407118920586374,0.546008382252298,0.631430094979144,0.30815178404192,0.0895595432300164,"Normal"
"AMPL131073",0.104628412587402,0.10980786533469,0.099632549549397,0.113499945563758,0.319495646276141,0.266975457293948,0.251971223495711,0.440326120004749,0.0471451876019576,"Normal"
"AMPL131074",0.124389708307771,0.148356564367171,0.138881577540691,0.153525380686223,0.247744272135652,0.195946589519936,0.181464746304284,0.313842099198889,0.0331158238172921,"Normal"
"AMPL131075",0.830362474043502,0.87949565541425,0.844369508808187,0.880283078637965,0.382705951297899,0.586782135317789,0.68072642449465,0.487147072425977,0.0365415986949429,"Normal"
"AMPL131077",0.685195977838262,0.299614002942664,0.222646866556102,0.216392588081197,0.127458805135841,0.295379597749775,0.400224883242875,0.079118833332841,0.00522022838499181,"Normal"
"AMPL131078",0.80137524217751,0.871852246697189,0.859184565800224,0.874046927393693,0.59334372404817,0.518979802030313,0.509670545539116,0.589585478988933,0.00848287112561175,"Normal"
"AMPL131079",0.341764319836649,0.365958290391934,0.325426564301356,0.359970125440723,0.226590126773969,0.167747055071619,0.158891464055282,0.644559812610705,0.0456769983686787,"Normal"
"AMPL131081",0.944917781836716,0.94882160915454,0.944155420500919,0.956501853167302,0.462800991258696,0.776577983527351,0.914468360705927,0.678119588754623,0.0257748776508973,"Normal"
"AMPL131087",0.786653289367283,0.857846057299584,0.869442740232572,0.895473620316838,0.45586333702724,0.688584604010725,0.776789299963211,0.233614347760099,0.00375203915171285,"Normal"
"AMPL131089",0.927555583957231,0.940185908483589,0.938051885447033,0.940951935715086,0.369748361019768,0.65800845894719,0.783765667103928,0.160118176228695,0.00163132137030997,"Normal"
"AMPL131092",0.8920569088643,0.927311246219054,0.895441831735851,0.920679186166763,0.418405118361747,0.698318815253856,0.897797379415746,0.696313101727964,0.0460032626427406,"Normal"
"AMPL131094",0.575543356234462,0.641648005442486,0.569484953723284,0.506959874098928,0.127719464606279,0.126004403283345,0.112286805339621,0.277156251172093,0.0650897226753671,"Normal"
"AMPL131095",0.905238758067525,0.915442350841902,0.885874891566094,0.920908764788996,0.687598260497384,0.812001079893188,0.877722392268902,0.612056733939442,0.186786296900489,"Normal"
"AMPL131096",0.882702021405373,0.926683125471547,0.930952414402571,0.93147002745418,0.801284712488758,0.897625664899182,0.923992802758765,0.829807233971471,0.246982055464927,"Normal"
"AMPL131098",0.918923337130621,0.891480065166538,0.851292231008655,0.855042197965655,0.361870511887782,0.632858465157732,0.78575835860129,0.22840153422448,0.193311582381729,"Normal"
"AMPL131100",0.928145666513259,0.933702435104547,0.913441240436178,0.935402011501248,0.657213579520275,0.829189223778727,0.903301791386528,0.566581731750683,0.00766721044045682,"Normal"
"AMPL131103",0.712148073674754,0.827099675492406,0.819504025224644,0.845887706124254,0.496348936897647,0.432437690971188,0.40584817026832,0.48846629281355,0.0226753670473083,"Normal"
"AMPL131104",0.901969291525537,0.87922323985294,0.860148662710292,0.8740100052777,0.652555000327195,0.780688628792843,0.857886020328195,0.635761353123823,0.0282218597063622,"Normal"
"AMPL131106",0.885436539174708,0.90952674966879,0.900244633604268,0.910157245953854,0.748666135040606,0.833555418733145,0.890961839190013,0.631189493669401,0.0298531810766721,"Normal"
"AMPL131108",0.388340944922278,0.317634603764602,0.157477815858922,0.136672282121445,0.138358223964214,0.240819298738624,0.304097073521043,0.152454807570089,0.0050570962479608,"Normal"
"AMPL131111",0.855018473714711,0.858141367133558,0.756397192857819,0.779251796266573,0.091481529977546,0.3949641237111,0.562906981384422,0.22609625065207,0.0799347471451876,"Normal"
"AMPL131113",0.763274203879986,0.825416065388678,0.788366067206865,0.811349289025279,0.410980715018573,0.659430772435755,0.75160066431201,0.177327642864438,0.0528548123980425,"Normal"
"AMPL131118",0.9123495706188,0.934229597343752,0.925098530451801,0.934785614093847,0.757630154238837,0.854620326064329,0.918543314400227,0.710163165901503,0.0825448613376836,"Normal"
"AMPL131120",0.913004956936917,0.947032512184973,0.935117586519474,0.948184342655932,0.505144637713773,0.809280984093669,0.913146136024761,0.502361330948613,0.0145187601957586,"Normal"
"AMPL131121",0.358077287449924,0.563037930809554,0.555839871644393,0.586373557905542,0.05758479069078,0.20705794077694,0.285473996253778,0.265153687940874,0.0104404567699837,"Normal"
"AMPL131122",0.74118308504658,0.733943916767459,0.712025613986302,0.722249428180213,0.085929074937904,0.322697793881596,0.454188198511324,0.209649122242373,0.00701468189233279,"Normal"
"AMPL131123",0.945695852452017,0.93186973686495,0.921152890579438,0.931766068231614,0.599730936290337,0.770139372154707,0.874847918464282,0.49752794903502,0.0830342577487765,"Normal"
"AMPL131128",0.890781878080299,0.638908687772415,0.609508758154026,0.636114725375951,0.484132147224825,0.641703869444525,0.709157251649628,0.532227154490614,0.0172920065252855,"Normal"
"AMPL131132",0.826915592339764,0.843095952125756,0.821932648124075,0.842049379031265,0.530441079888165,0.714060873034336,0.810043937090014,0.402080339769922,0.00799347471451872,"Normal"
"AMPL131141",0.857230534015074,0.855997728579769,0.815421542455571,0.835847170998452,0.667503354399516,0.749029342973696,0.787606087056729,0.617520804642331,0.0050570962479608,"Normal"
